region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Derby,2020-10-05,forecast,32,40,32,9,19,26,38,50,95
Derby,2020-10-06,forecast,26,33,29,7,15,21,31,42,84
Derby,2020-10-07,forecast,34,49,55,8,20,28,42,59,137
Derby,2020-10-08,forecast,34,52,64,7,18,26,42,61,157
Derby,2020-10-09,forecast,32,55,86,6,16,25,42,61,165
Derby,2020-10-10,forecast,24,52,112,4,13,19,32,50,168
Derby,2020-10-11,forecast,33,87,243,5,16,25,44,73,302
Derby,2020-10-12,forecast,44,149,572,7,20,33,61,107,545
Derby,2020-10-13,forecast,37,169,844,4,14,26,51,95,514
Derby,2020-10-14,forecast,50,288,1407,5,19,34,71,139,972
Derby,2020-10-15,forecast,47,444,3376,4,16,30,71,146,1096
Derby,2020-10-16,forecast,42,601,4866,3,14,28,64,147,1362
Derby,2020-10-17,forecast,35,548,3937,2,11,22,55,121,1223
Derby,2020-10-18,forecast,46,1439,15332,2,14,28,73,173,2876
Derbyshire,2020-10-05,forecast,190,208,93,98,144,170,211,249,379
Derbyshire,2020-10-06,forecast,206,237,140,94,149,180,234,285,481
Derbyshire,2020-10-07,forecast,265,339,293,106,183,229,305,402,787
Derbyshire,2020-10-08,forecast,280,406,521,101,180,235,330,453,1119
Derbyshire,2020-10-09,forecast,266,484,1514,76,154,217,323,466,1364
Derbyshire,2020-10-10,forecast,243,559,2229,64,132,189,305,469,1682
Derbyshire,2020-10-11,forecast,294,1030,8289,63,150,229,381,636,2518
Derbyshire,2020-10-12,forecast,580,3164,32427,99,273,437,802,1395,7306
Derbyshire,2020-10-13,forecast,661,6626,105312,91,282,476,904,1765,11716
Derbyshire,2020-10-14,forecast,848,14958,314654,99,337,584,1234,2487,20385
Derbyshire,2020-10-15,forecast,887,49474,1529893,90,318,612,1397,2869,27423
Derbyshire,2020-10-16,forecast,818,97711,3142600,67,274,548,1275,3028,36035
Derbyshire,2020-10-17,forecast,762,103016,2481683,52,238,494,1196,3133,45872
Derbyshire,2020-10-18,forecast,941,138871,2499603,51,267,585,1552,4265,69869
Leicester,2020-10-05,forecast,139,146,49,80,110,128,151,172,236
Leicester,2020-10-06,forecast,141,155,74,75,109,128,155,182,277
Leicester,2020-10-07,forecast,176,212,193,83,127,157,199,246,431
Leicester,2020-10-08,forecast,187,258,432,80,127,161,218,286,596
Leicester,2020-10-09,forecast,221,352,1062,77,140,184,260,349,857
Leicester,2020-10-10,forecast,194,435,3394,58,116,158,240,351,1042
Leicester,2020-10-11,forecast,170,596,7957,42,94,138,218,333,1217
Leicester,2020-10-12,forecast,364,2391,52197,82,185,280,477,805,3498
Leicester,2020-10-13,forecast,371,5580,162013,68,175,273,521,908,4814
Leicester,2020-10-14,forecast,468,22112,810659,70,206,345,661,1261,7725
Leicester,2020-10-15,forecast,501,74094,2993047,60,204,358,746,1476,10811
Leicester,2020-10-16,forecast,593,64213,2241090,61,213,389,874,1916,17496
Leicester,2020-10-17,forecast,551,77384,2402646,44,183,354,806,1883,21529
Leicester,2020-10-18,forecast,471,94391,2237449,33,149,300,778,1956,26235
Leicestershire,2020-10-05,forecast,147,157,61,78,114,134,162,191,263
Leicestershire,2020-10-06,forecast,186,208,102,90,137,165,207,254,394
Leicestershire,2020-10-07,forecast,253,304,202,107,177,223,290,367,651
Leicestershire,2020-10-08,forecast,287,379,343,112,188,245,338,443,920
Leicestershire,2020-10-09,forecast,322,489,622,110,201,273,387,564,1352
Leicestershire,2020-10-10,forecast,293,531,1019,87,168,233,370,555,1477
Leicestershire,2020-10-11,forecast,314,710,1612,83,176,250,408,669,2118
Leicestershire,2020-10-12,forecast,566,1683,6485,124,282,424,761,1324,4819
Leicestershire,2020-10-13,forecast,728,2809,11560,132,332,522,1014,1936,7911
Leicestershire,2020-10-14,forecast,980,5629,32207,154,425,696,1455,2828,14179
Leicestershire,2020-10-15,forecast,1124,10662,91723,144,455,793,1671,3603,21185
Leicestershire,2020-10-16,forecast,1337,16674,147477,135,481,899,2015,4507,32583
Leicestershire,2020-10-17,forecast,1167,28504,329861,105,408,766,1859,4459,37719
Leicestershire,2020-10-18,forecast,1290,47479,554291,100,402,810,2240,5278,55660
Lincolnshire,2020-10-05,forecast,119,135,80,50,84,104,133,167,276
Lincolnshire,2020-10-06,forecast,98,118,78,38,68,85,114,146,265
Lincolnshire,2020-10-07,forecast,175,222,187,64,113,148,206,274,517
Lincolnshire,2020-10-08,forecast,160,235,333,49,96,135,196,269,648
Lincolnshire,2020-10-09,forecast,162,278,512,44,92,127,202,302,771
Lincolnshire,2020-10-10,forecast,129,267,559,33,71,102,167,268,844
Lincolnshire,2020-10-11,forecast,165,445,1545,32,80,123,219,359,1427
Lincolnshire,2020-10-12,forecast,306,1191,6227,48,132,227,414,767,3529
