region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Derby,2020-12-14,forecast,135,139,32,92,116,129,144,159,195
Derby,2020-12-15,forecast,118,122,34,77,98,111,126,140,184
Derby,2020-12-16,forecast,142,150,46,88,119,133,154,173,235
Derby,2020-12-17,forecast,143,154,59,83,114,131,156,182,260
Derby,2020-12-18,forecast,139,152,67,77,109,126,153,182,272
Derby,2020-12-19,forecast,122,136,70,58,91,109,136,163,256
Derby,2020-12-20,forecast,142,164,97,64,101,125,161,199,333
Derby,2020-12-21,forecast,260,319,235,108,184,228,300,383,695
Derby,2020-12-22,forecast,229,289,245,87,153,196,266,348,665
Derby,2020-12-23,forecast,282,371,357,91,182,242,330,442,893
Derby,2020-12-24,forecast,285,395,438,87,178,239,341,455,1027
Derby,2020-12-25,forecast,278,407,501,79,166,227,341,474,1092
Derby,2020-12-26,forecast,235,378,629,62,138,194,293,422,1052
Derby,2020-12-27,forecast,284,478,867,66,156,230,358,520,1416
Derbyshire,2020-12-14,forecast,264,270,52,195,234,252,277,300,363
Derbyshire,2020-12-15,forecast,230,237,54,159,200,218,244,269,335
Derbyshire,2020-12-16,forecast,228,239,67,153,192,216,243,273,363
Derbyshire,2020-12-17,forecast,215,227,75,134,176,199,232,262,364
Derbyshire,2020-12-18,forecast,195,212,85,113,155,180,212,252,363
Derbyshire,2020-12-19,forecast,153,172,87,80,116,137,170,204,320
Derbyshire,2020-12-20,forecast,153,177,107,72,113,135,172,213,355
Derbyshire,2020-12-21,forecast,266,326,232,115,187,234,302,387,710
Derbyshire,2020-12-22,forecast,231,297,266,93,158,196,266,348,679
Derbyshire,2020-12-23,forecast,222,309,338,85,148,189,264,354,802
Derbyshire,2020-12-24,forecast,209,307,390,70,130,174,249,348,857
Derbyshire,2020-12-25,forecast,189,304,456,57,115,157,234,334,841
Derbyshire,2020-12-26,forecast,150,255,447,40,85,121,186,267,734
Derbyshire,2020-12-27,forecast,147,278,586,37,81,117,185,287,825
Leicester,2020-12-14,forecast,157,161,37,107,135,148,166,182,226
Leicester,2020-12-15,forecast,151,156,40,101,129,141,161,178,227
Leicester,2020-12-16,forecast,164,169,47,106,137,153,174,195,251
Leicester,2020-12-17,forecast,155,161,53,92,124,142,167,189,257
Leicester,2020-12-18,forecast,145,157,58,87,117,134,160,183,264
Leicester,2020-12-19,forecast,122,134,59,64,95,111,136,158,245
Leicester,2020-12-20,forecast,115,128,63,57,86,103,127,152,245
Leicester,2020-12-21,forecast,180,208,119,85,133,160,202,248,415
Leicester,2020-12-22,forecast,175,210,135,75,124,155,202,255,453
Leicester,2020-12-23,forecast,189,234,170,76,132,166,219,283,540
Leicester,2020-12-24,forecast,177,230,197,66,117,152,208,272,570
Leicester,2020-12-25,forecast,170,226,207,58,109,143,201,266,595
Leicester,2020-12-26,forecast,142,199,201,46,87,118,175,235,530
Leicester,2020-12-27,forecast,134,198,234,40,81,110,166,228,546
Leicestershire,2020-12-14,forecast,207,214,52,143,177,196,220,243,309
Leicestershire,2020-12-15,forecast,180,187,53,115,151,169,193,216,282
Leicestershire,2020-12-16,forecast,181,194,70,109,148,168,196,226,319
Leicestershire,2020-12-17,forecast,181,199,89,103,140,163,201,234,354
Leicestershire,2020-12-18,forecast,165,192,131,87,125,149,185,225,361
Leicestershire,2020-12-19,forecast,135,165,152,64,97,120,153,191,351
Leicestershire,2020-12-20,forecast,126,168,284,54,87,110,146,192,373
Leicestershire,2020-12-21,forecast,200,298,846,77,133,170,236,313,718
Leicestershire,2020-12-22,forecast,171,288,1259,60,110,143,205,288,724
Leicestershire,2020-12-23,forecast,171,355,2853,55,102,143,214,312,849
Leicestershire,2020-12-24,forecast,169,438,4619,51,100,137,216,324,1023
