region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Derby,2020-10-19,forecast,73,83,47,29,51,64,84,104,172
Derby,2020-10-20,forecast,60,71,46,22,41,52,69,89,157
Derby,2020-10-21,forecast,75,93,68,27,50,64,88,115,217
Derby,2020-10-22,forecast,72,98,100,22,45,60,87,114,258
Derby,2020-10-23,forecast,62,90,151,18,36,50,76,106,234
Derby,2020-10-24,forecast,53,83,122,14,30,41,63,90,238
Derby,2020-10-25,forecast,63,125,340,15,34,49,77,115,360
Derby,2020-10-26,forecast,76,197,1248,17,39,58,96,150,522
Derby,2020-10-27,forecast,60,220,1641,12,29,45,80,133,550
Derby,2020-10-28,forecast,75,325,2521,14,35,55,99,171,820
Derby,2020-10-29,forecast,69,574,8074,11,33,52,99,180,1031
Derby,2020-10-30,forecast,58,751,17048,8,25,42,82,161,1025
Derby,2020-10-31,forecast,50,1116,30427,6,20,34,72,143,988
Derby,2020-11-01,forecast,61,3372,104912,7,23,41,88,200,1511
Derbyshire,2020-10-19,forecast,320,338,128,179,253,292,351,401,541
Derbyshire,2020-10-20,forecast,326,361,158,178,256,298,365,432,635
Derbyshire,2020-10-21,forecast,388,443,258,187,289,349,431,527,862
Derbyshire,2020-10-22,forecast,398,496,479,175,278,343,447,572,1062
Derbyshire,2020-10-23,forecast,338,485,696,137,233,292,402,528,1169
Derbyshire,2020-10-24,forecast,302,490,998,107,185,250,365,501,1249
Derbyshire,2020-10-25,forecast,323,631,1822,100,195,270,400,592,1767
Derbyshire,2020-10-26,forecast,578,1407,5390,148,316,456,732,1150,4080
Derbyshire,2020-10-27,forecast,605,1855,8604,139,308,473,770,1285,5432
Derbyshire,2020-10-28,forecast,710,3145,20742,139,340,526,936,1604,7538
Derbyshire,2020-10-29,forecast,718,5021,41042,124,324,534,970,1836,10460
Derbyshire,2020-10-30,forecast,639,6859,67554,90,265,466,873,1767,10915
Derbyshire,2020-10-31,forecast,551,8939,98440,71,213,392,817,1647,13610
Derbyshire,2020-11-01,forecast,591,16543,214299,65,214,416,873,1946,17565
Leicester,2020-10-19,forecast,140,148,49,83,114,129,152,174,237
Leicester,2020-10-20,forecast,121,130,49,70,95,111,133,154,223
Leicester,2020-10-21,forecast,136,152,79,73,105,124,150,180,280
Leicester,2020-10-22,forecast,120,143,104,62,90,108,136,169,284
Leicester,2020-10-23,forecast,111,143,185,51,79,96,127,162,311
Leicester,2020-10-24,forecast,83,119,207,35,57,70,97,128,285
Leicester,2020-10-25,forecast,67,115,445,25,43,56,80,109,290
Leicester,2020-10-26,forecast,112,243,1676,39,70,93,135,195,552
Leicester,2020-10-27,forecast,93,291,3262,31,57,77,118,175,632
Leicester,2020-10-28,forecast,106,565,11903,33,60,86,134,208,883
Leicester,2020-10-29,forecast,94,790,18959,24,49,73,122,208,920
Leicester,2020-10-30,forecast,86,1414,43064,21,44,66,114,198,945
Leicester,2020-10-31,forecast,65,2164,73844,14,30,48,85,162,941
Leicester,2020-11-01,forecast,51,5229,209054,10,23,37,71,134,969
Leicestershire,2020-10-19,forecast,200,211,69,120,163,186,217,245,338
Leicestershire,2020-10-20,forecast,186,201,82,101,147,170,202,236,350
Leicestershire,2020-10-21,forecast,211,238,125,109,161,190,234,282,437
Leicestershire,2020-10-22,forecast,197,241,220,94,148,175,223,272,494
Leicestershire,2020-10-23,forecast,188,257,464,82,131,163,213,274,569
Leicestershire,2020-10-24,forecast,133,225,904,53,89,114,158,208,534
Leicestershire,2020-10-25,forecast,125,263,1563,46,81,105,148,207,600
Leicestershire,2020-10-26,forecast,178,750,14816,55,110,147,219,318,1110
Leicestershire,2020-10-27,forecast,161,1013,22126,50,93,129,206,318,1337
Leicestershire,2020-10-28,forecast,180,2433,72697,49,101,144,234,368,1984
Leicestershire,2020-10-29,forecast,174,4156,132844,43,89,128,230,368,2302
Leicestershire,2020-10-30,forecast,156,13539,535880,36,79,118,217,382,2900
Leicestershire,2020-10-31,forecast,115,26220,1088459,23,51,82,160,290,2541
Leicestershire,2020-11-01,forecast,107,72472,3120593,19,46,74,152,294,2911
Lincolnshire,2020-10-19,forecast,127,136,55,66,98,115,138,164,240
Lincolnshire,2020-10-20,forecast,113,126,60,58,85,102,126,152,230
Lincolnshire,2020-10-21,forecast,147,173,117,70,109,132,166,205,349
Lincolnshire,2020-10-22,forecast,127,164,212,53,90,112,146,187,373
Lincolnshire,2020-10-23,forecast,113,157,212,46,76,98,132,175,391
Lincolnshire,2020-10-24,forecast,84,138,429,30,53,70,101,140,352
Lincolnshire,2020-10-25,forecast,77,160,692,25,47,64,94,140,419
Lincolnshire,2020-10-26,forecast,117,397,4598,35,65,93,148,240,785
Lincolnshire,2020-10-27,forecast,105,537,8193,28,57,82,137,230,897
Lincolnshire,2020-10-28,forecast,136,1578,35748,32,72,104,185,323,1497
Lincolnshire,2020-10-29,forecast,119,2132,47571,25,54,88,163,302,1713
Lincolnshire,2020-10-30,forecast,102,3636,102869,19,47,74,148,277,1917
Lincolnshire,2020-10-31,forecast,72,10072,289775,13,31,51,109,229,1814
Lincolnshire,2020-11-01,forecast,71,22800,688947,11,28,47,105,238,2019
Northamptonshire,2020-10-19,forecast,150,165,76,72,112,134,167,203,315
Northamptonshire,2020-10-20,forecast,151,172,90,69,110,134,169,208,348
Northamptonshire,2020-10-21,forecast,145,171,110,61,103,128,166,207,360
Northamptonshire,2020-10-22,forecast,146,183,154,54,97,123,170,216,424
Northamptonshire,2020-10-23,forecast,116,166,189,40,75,100,141,192,447
Northamptonshire,2020-10-24,forecast,84,138,200,28,52,70,103,149,391
Northamptonshire,2020-10-25,forecast,81,152,306,23,48,66,102,147,454
Northamptonshire,2020-10-26,forecast,157,360,904,41,87,126,200,305,1149
Northamptonshire,2020-10-27,forecast,154,472,2040,40,80,117,206,339,1415
Northamptonshire,2020-10-28,forecast,149,617,3239,33,74,113,201,344,1628
Northamptonshire,2020-10-29,forecast,144,839,5691,29,68,109,202,372,2129
Northamptonshire,2020-10-30,forecast,120,899,6400,22,53,87,168,321,2228
Northamptonshire,2020-10-31,forecast,86,1004,8787,14,36,59,122,254,2258
Northamptonshire,2020-11-01,forecast,82,1415,15075,11,32,55,123,254,2509
Nottingham,2020-10-19,forecast,181,190,60,105,149,170,196,222,297
