region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Derby,2020-11-23,forecast,81,84,24,51,68,76,87,97,125
Derby,2020-11-24,forecast,56,58,18,33,46,52,61,68,90
Derby,2020-11-25,forecast,56,60,20,34,46,53,61,70,95
Derby,2020-11-26,forecast,49,52,19,27,39,45,53,60,86
Derby,2020-11-27,forecast,41,45,19,22,32,38,45,52,81
Derby,2020-11-28,forecast,29,33,17,15,23,27,32,39,60
Derby,2020-11-29,forecast,29,33,20,14,21,26,32,39,63
Derby,2020-11-30,forecast,40,47,32,20,30,35,45,54,94
Derby,2020-12-01,forecast,27,34,29,12,20,25,31,39,70
Derby,2020-12-02,forecast,27,36,39,12,19,24,31,39,81
Derby,2020-12-03,forecast,22,32,41,10,16,20,26,35,76
Derby,2020-12-04,forecast,20,29,43,8,13,17,23,30,70
Derby,2020-12-05,forecast,14,22,39,5,9,12,17,22,56
Derby,2020-12-06,forecast,13,23,55,4,9,11,16,22,57
Derbyshire,2020-11-23,forecast,230,235,48,164,200,219,242,264,321
Derbyshire,2020-11-24,forecast,187,195,50,128,161,177,199,221,285
Derbyshire,2020-11-25,forecast,164,174,52,109,138,155,177,200,273
Derbyshire,2020-11-26,forecast,142,157,63,89,118,133,153,180,263
Derbyshire,2020-11-27,forecast,120,139,74,72,98,111,132,157,261
Derbyshire,2020-11-28,forecast,87,105,78,49,68,78,96,118,214
Derbyshire,2020-11-29,forecast,78,101,105,41,59,70,88,110,237
Derbyshire,2020-11-30,forecast,123,180,294,63,90,110,141,179,425
Derbyshire,2020-12-01,forecast,99,165,401,48,71,88,114,155,417
Derbyshire,2020-12-02,forecast,86,168,619,40,61,75,102,140,433
Derbyshire,2020-12-03,forecast,75,172,813,33,51,64,89,127,455
Derbyshire,2020-12-04,forecast,63,186,1245,26,41,53,75,116,461
Derbyshire,2020-12-05,forecast,44,170,1462,17,28,37,54,83,393
Derbyshire,2020-12-06,forecast,39,213,2384,15,24,32,50,79,429
Leicester,2020-11-23,forecast,171,177,48,111,144,161,183,205,263
Leicester,2020-11-24,forecast,152,162,55,95,125,141,164,188,262
Leicester,2020-11-25,forecast,149,165,81,88,121,138,160,188,289
Leicester,2020-11-26,forecast,128,151,110,70,98,115,143,169,298
Leicester,2020-11-27,forecast,116,153,257,61,87,104,129,161,324
Leicester,2020-11-28,forecast,84,127,282,41,62,75,95,123,300
Leicester,2020-11-29,forecast,69,130,678,31,48,60,79,105,291
Leicester,2020-11-30,forecast,102,280,2639,45,70,88,120,169,567
Leicester,2020-12-01,forecast,90,420,6872,36,59,77,111,159,657
