region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Derby,2020-12-07,forecast,77,79,22,47,63,72,82,92,119
Derby,2020-12-08,forecast,65,68,23,36,52,60,70,81,111
Derby,2020-12-09,forecast,76,83,35,41,59,69,84,99,144
Derby,2020-12-10,forecast,74,83,41,39,57,67,82,99,160
Derby,2020-12-11,forecast,72,85,53,36,53,63,82,101,176
Derby,2020-12-12,forecast,61,77,59,27,42,53,70,88,174
Derby,2020-12-13,forecast,70,94,89,29,47,61,82,107,231
Derby,2020-12-14,forecast,122,180,214,47,80,102,143,202,472
Derby,2020-12-15,forecast,107,176,257,38,67,90,132,188,510
Derby,2020-12-16,forecast,129,240,464,39,77,105,159,238,743
Derby,2020-12-17,forecast,128,261,572,39,73,101,161,251,838
Derby,2020-12-18,forecast,123,296,821,34,68,99,160,259,952
Derby,2020-12-19,forecast,107,296,969,26,56,81,143,233,939
Derby,2020-12-20,forecast,122,404,1599,28,62,94,163,297,1278
Derbyshire,2020-12-07,forecast,219,224,49,152,190,207,232,254,306
Derbyshire,2020-12-08,forecast,202,207,53,132,169,189,213,237,304
Derbyshire,2020-12-09,forecast,209,222,74,132,176,194,225,257,357
Derbyshire,2020-12-10,forecast,212,231,96,121,170,196,231,269,405
Derbyshire,2020-12-11,forecast,208,237,124,113,158,188,231,282,447
Derbyshire,2020-12-12,forecast,181,212,143,86,133,158,202,248,448
Derbyshire,2020-12-13,forecast,188,241,201,82,135,165,216,282,546
Derbyshire,2020-12-14,forecast,360,496,520,143,246,312,425,570,1198
Derbyshire,2020-12-15,forecast,332,499,652,122,221,286,397,549,1266
Derbyshire,2020-12-16,forecast,359,587,946,114,223,296,436,628,1591
Derbyshire,2020-12-17,forecast,366,670,1335,105,216,298,457,665,1974
Derbyshire,2020-12-18,forecast,362,738,1992,96,207,292,457,687,2104
Derbyshire,2020-12-19,forecast,309,727,2074,74,169,251,398,651,2239
Derbyshire,2020-12-20,forecast,334,917,3445,71,173,263,435,714,2847
Leicester,2020-12-07,forecast,154,161,51,93,126,143,166,187,252
Leicester,2020-12-08,forecast,146,156,57,88,119,135,158,182,255
Leicester,2020-12-09,forecast,150,164,70,83,116,137,165,194,294
Leicester,2020-12-10,forecast,141,162,94,74,107,128,158,192,306
Leicester,2020-12-11,forecast,139,166,110,70,103,123,154,193,341
Leicester,2020-12-12,forecast,111,144,140,52,82,98,126,161,320
Leicester,2020-12-13,forecast,101,144,205,46,73,89,117,158,335
Leicester,2020-12-14,forecast,170,268,504,73,115,146,205,276,685
Leicester,2020-12-15,forecast,164,290,675,63,109,139,196,280,747
Leicester,2020-12-16,forecast,168,333,986,65,108,142,203,309,884
Leicester,2020-12-17,forecast,156,392,2070,56,97,127,202,300,1029
Leicester,2020-12-18,forecast,155,451,2546,52,92,127,196,317,1125
Leicester,2020-12-19,forecast,128,488,3895,38,72,102,164,259,1059
Leicester,2020-12-20,forecast,116,610,6474,34,65,91,155,262,1220
Leicestershire,2020-12-07,forecast,260,269,71,172,217,242,279,308,398
Leicestershire,2020-12-08,forecast,236,254,94,140,190,219,259,295,421
Leicestershire,2020-12-09,forecast,270,307,170,141,205,241,301,356,585
Leicestershire,2020-12-10,forecast,289,364,321,134,205,252,329,424,807
Leicestershire,2020-12-11,forecast,282,411,577,112,184,240,336,457,1050
Leicestershire,2020-12-12,forecast,254,441,885,84,151,203,309,447,1268
Leicestershire,2020-12-13,forecast,252,572,1881,72,138,199,329,497,1583
Leicestershire,2020-12-14,forecast,446,1366,5600,107,224,340,612,978,4089
Leicestershire,2020-12-15,forecast,422,1786,9678,80,189,306,579,1016,4984
Leicestershire,2020-12-16,forecast,480,3349,28676,77,202,331,687,1298,7348
Leicestershire,2020-12-17,forecast,513,5885,59619,70,195,344,792,1577,10771
Leicestershire,2020-12-18,forecast,514,10762,139433,54,173,318,787,1699,13693
Leicestershire,2020-12-19,forecast,453,17408,281110,38,138,276,754,1732,17163
Leicestershire,2020-12-20,forecast,461,34222,564574,33,127,270,780,1916,22616
Lincolnshire,2020-12-07,forecast,316,326,84,206,266,297,337,373,481
Lincolnshire,2020-12-08,forecast,289,300,89,177,237,269,309,349,459
