region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Derby,2020-11-30,forecast,52,53,13,33,43,48,55,61,77
Derby,2020-12-01,forecast,37,38,11,22,31,35,40,45,57
Derby,2020-12-02,forecast,38,39,11,23,31,35,40,45,59
Derby,2020-12-03,forecast,32,33,10,18,26,29,34,39,51
Derby,2020-12-04,forecast,26,27,10,14,21,24,28,32,45
Derby,2020-12-05,forecast,19,20,8,10,15,17,21,24,34
Derby,2020-12-06,forecast,18,19,8,9,14,16,20,23,33
Derby,2020-12-07,forecast,27,29,14,14,20,24,29,35,52
Derby,2020-12-08,forecast,19,21,11,9,14,17,21,26,39
Derby,2020-12-09,forecast,19,21,12,9,14,17,21,26,41
Derby,2020-12-10,forecast,16,18,12,7,12,14,18,22,38
Derby,2020-12-11,forecast,13,15,11,5,9,11,15,19,33
Derby,2020-12-12,forecast,9,11,11,3,6,8,11,14,25
Derby,2020-12-13,forecast,9,11,13,3,6,8,10,13,25
Derbyshire,2020-11-30,forecast,159,163,38,113,135,150,168,183,230
Derbyshire,2020-12-01,forecast,135,141,43,86,112,125,143,163,217
Derbyshire,2020-12-02,forecast,126,138,67,77,102,116,135,158,238
Derbyshire,2020-12-03,forecast,111,133,120,64,88,101,122,146,261
Derbyshire,2020-12-04,forecast,100,137,255,53,75,90,113,145,299
Derbyshire,2020-12-05,forecast,77,134,644,37,56,67,89,120,286
Derbyshire,2020-12-06,forecast,73,169,1279,33,52,64,88,123,355
Derbyshire,2020-12-07,forecast,124,511,8163,52,84,106,150,222,803
Derbyshire,2020-12-08,forecast,104,801,17375,40,66,87,130,212,950
Derbyshire,2020-12-09,forecast,99,1734,48922,33,60,80,123,214,1140
Derbyshire,2020-12-10,forecast,87,3701,118881,26,50,69,116,215,1468
Derbyshire,2020-12-11,forecast,80,10085,374995,22,42,62,108,214,1702
Derbyshire,2020-12-12,forecast,62,21144,825865,15,32,47,85,183,1662
Derbyshire,2020-12-13,forecast,59,45619,1792868,13,29,44,85,189,2167
Leicester,2020-11-30,forecast,128,132,33,85,108,120,136,151,194
Leicester,2020-12-01,forecast,112,119,40,71,92,104,121,137,193
Leicester,2020-12-02,forecast,109,121,56,62,87,99,119,141,219
Leicester,2020-12-03,forecast,94,113,86,52,71,85,104,126,234
Leicester,2020-12-04,forecast,84,114,149,43,60,74,94,120,254
Leicester,2020-12-05,forecast,61,100,252,28,43,53,71,96,239
Leicester,2020-12-06,forecast,50,111,615,22,33,43,62,86,266
Leicester,2020-12-07,forecast,78,258,2462,31,49,65,96,141,537
Leicester,2020-12-08,forecast,68,350,4310,25,41,56,86,136,681
Leicester,2020-12-09,forecast,65,715,12496,22,37,51,83,141,809
Leicester,2020-12-10,forecast,54,1306,30014,18,30,42,71,130,997
Leicester,2020-12-11,forecast,49,2743,75139,14,26,37,66,128,1227
Leicester,2020-12-12,forecast,35,4446,125963,9,18,26,50,100,1286
Leicester,2020-12-13,forecast,28,10268,338060,7,14,21,42,92,1319
Leicestershire,2020-11-30,forecast,143,147,36,96,122,135,151,167,211
Leicestershire,2020-12-01,forecast,115,119,36,71,95,106,123,136,183
Leicestershire,2020-12-02,forecast,112,123,50,68,90,103,120,141,211
Leicestershire,2020-12-03,forecast,103,120,69,59,82,94,113,135,233
Leicestershire,2020-12-04,forecast,89,112,90,46,67,80,101,124,244
Leicestershire,2020-12-05,forecast,68,95,119,34,49,59,77,100,235
