region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,id
Barking and Dagenham,2020-12-21,NA,forecast,475,486,119,313,403,444,504,556,700,E09000002
Barking and Dagenham,2020-12-22,NA,forecast,434,446,115,281,366,408,462,511,653,E09000002
Barking and Dagenham,2020-12-23,NA,forecast,536,554,157,332,441,501,576,645,835,E09000002
Barking and Dagenham,2020-12-24,NA,forecast,491,508,158,289,397,454,527,601,792,E09000002
Barking and Dagenham,2020-12-25,NA,forecast,526,551,191,288,413,481,572,658,902,E09000002
Barking and Dagenham,2020-12-26,NA,forecast,384,406,152,199,297,349,422,491,686,E09000002
Barking and Dagenham,2020-12-27,NA,forecast,399,425,176,190,301,360,444,520,748,E09000002
Barking and Dagenham,2020-12-28,NA,forecast,704,760,350,306,510,630,795,936,1407,E09000002
Barking and Dagenham,2020-12-29,NA,forecast,641,698,344,251,453,565,719,879,1320,E09000002
Barking and Dagenham,2020-12-30,NA,forecast,788,873,467,293,537,689,906,1107,1723,E09000002
Barking and Dagenham,2020-12-31,NA,forecast,717,813,467,241,480,624,833,1044,1701,E09000002
Barking and Dagenham,2021-01-01,NA,forecast,780,888,549,237,502,669,907,1147,1872,E09000002
Barking and Dagenham,2021-01-02,NA,forecast,570,665,448,165,356,480,667,864,1478,E09000002
Barking and Dagenham,2021-01-03,NA,forecast,594,702,496,158,362,492,709,913,1591,E09000002
Barnet,2020-12-21,NA,forecast,545,560,133,371,464,514,579,637,803,E09000003
Barnet,2020-12-22,NA,forecast,515,532,141,331,431,485,549,612,793,E09000003
Barnet,2020-12-23,NA,forecast,576,597,181,338,468,534,620,698,924,E09000003
Barnet,2020-12-24,NA,forecast,585,615,215,323,464,532,640,734,1005,E09000003
Barnet,2020-12-25,NA,forecast,616,656,262,305,471,563,678,804,1120,E09000003
Barnet,2020-12-26,NA,forecast,449,482,216,196,332,402,501,595,885,E09000003
Barnet,2020-12-27,NA,forecast,508,560,285,199,355,448,579,707,1094,E09000003
Barnet,2020-12-28,NA,forecast,890,1009,577,309,606,782,1030,1292,2064,E09000003
Barnet,2020-12-29,NA,forecast,852,983,624,263,545,728,1003,1278,2118,E09000003
Barnet,2020-12-30,NA,forecast,963,1125,780,255,588,814,1130,1462,2503,E09000003
Barnet,2020-12-31,NA,forecast,968,1181,895,228,570,811,1170,1536,2823,E09000003
Barnet,2021-01-01,NA,forecast,1042,1290,1074,215,573,829,1259,1686,3214,E09000003
Barnet,2021-01-02,NA,forecast,754,965,859,139,397,599,919,1261,2502,E09000003
Barnet,2021-01-03,NA,forecast,847,1137,1096,136,428,664,1060,1495,3065,E09000003
Barnsley,2020-12-21,NA,forecast,97,99,23,64,83,92,103,113,138,E08000016
Barnsley,2020-12-22,NA,forecast,92,95,24,61,78,87,98,109,139,E08000016
Barnsley,2020-12-23,NA,forecast,94,97,27,58,78,88,100,112,146,E08000016
Barnsley,2020-12-24,NA,forecast,88,92,29,52,72,82,95,108,145,E08000016
Barnsley,2020-12-25,NA,forecast,92,96,34,51,73,85,100,114,157,E08000016
Barnsley,2020-12-26,NA,forecast,75,81,32,39,59,68,82,98,141,E08000016
Barnsley,2020-12-27,NA,forecast,83,90,39,42,63,75,92,108,159,E08000016
Barnsley,2020-12-28,NA,forecast,133,147,73,64,97,119,148,179,281,E08000016
Barnsley,2020-12-29,NA,forecast,128,145,78,54,92,114,145,178,288,E08000016
Barnsley,2020-12-30,NA,forecast,130,150,89,53,91,114,148,183,312,E08000016
Barnsley,2020-12-31,NA,forecast,122,144,94,45,83,107,142,179,314,E08000016
Barnsley,2021-01-01,NA,forecast,126,154,112,43,83,108,146,191,356,E08000016
