region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,id
Barking and Dagenham,2020-12-28,NA,forecast,490,508,148,301,402,455,526,591,772,E09000002
Barking and Dagenham,2020-12-29,NA,forecast,440,457,146,256,354,405,475,534,720,E09000002
Barking and Dagenham,2020-12-30,NA,forecast,497,523,178,288,397,455,539,622,847,E09000002
Barking and Dagenham,2020-12-31,NA,forecast,443,470,172,246,349,403,484,560,794,E09000002
Barking and Dagenham,2021-01-01,NA,forecast,447,480,195,235,344,406,494,574,836,E09000002
Barking and Dagenham,2021-01-02,NA,forecast,348,375,166,174,259,314,385,450,674,E09000002
Barking and Dagenham,2021-01-03,NA,forecast,361,395,195,166,267,322,400,482,726,E09000002
Barking and Dagenham,2021-01-04,NA,forecast,546,615,347,238,392,483,614,746,1214,E09000002
Barking and Dagenham,2021-01-05,NA,forecast,485,560,363,197,342,426,550,689,1129,E09000002
Barking and Dagenham,2021-01-06,NA,forecast,544,650,493,211,376,473,624,792,1401,E09000002
Barking and Dagenham,2021-01-07,NA,forecast,481,591,500,174,324,415,554,716,1315,E09000002
Barking and Dagenham,2021-01-08,NA,forecast,491,623,639,163,323,418,575,736,1425,E09000002
Barking and Dagenham,2021-01-09,NA,forecast,373,496,724,117,238,315,440,583,1158,E09000002
Barking and Dagenham,2021-01-10,NA,forecast,381,534,882,117,241,323,457,618,1239,E09000002
Barnet,2020-12-28,NA,forecast,744,771,205,494,628,699,790,886,1142,E09000003
Barnet,2020-12-29,NA,forecast,674,698,201,423,556,628,720,807,1066,E09000003
Barnet,2020-12-30,NA,forecast,700,739,249,422,570,648,757,856,1176,E09000003
Barnet,2020-12-31,NA,forecast,661,712,282,376,530,605,720,835,1208,E09000003
Barnet,2021-01-01,NA,forecast,652,717,372,350,506,589,717,840,1265,E09000003
Barnet,2021-01-02,NA,forecast,517,584,381,263,390,464,569,683,1059,E09000003
