region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Derby,2020-10-12,forecast,69,83,54,22,46,60,81,107,191
Derby,2020-10-13,forecast,60,75,59,18,38,50,72,95,176
Derby,2020-10-14,forecast,76,107,139,21,46,64,90,125,276
Derby,2020-10-15,forecast,78,117,157,20,46,63,94,137,311
Derby,2020-10-16,forecast,75,124,205,17,41,60,95,139,347
Derby,2020-10-17,forecast,64,135,418,13,32,49,81,123,364
Derby,2020-10-18,forecast,84,227,991,17,41,63,106,175,637
Derby,2020-10-19,forecast,119,394,1809,18,56,90,166,296,1141
Derby,2020-10-20,forecast,97,473,4014,14,42,70,139,258,1103
Derby,2020-10-21,forecast,128,972,11068,15,51,90,183,363,1833
Derby,2020-10-22,forecast,122,1220,12395,13,46,86,179,392,2424
Derby,2020-10-23,forecast,118,2082,36364,10,41,82,180,409,2841
Derby,2020-10-24,forecast,99,3317,65808,7,33,65,165,354,3195
Derby,2020-10-25,forecast,134,5640,96710,8,42,83,217,561,5082
Derbyshire,2020-10-12,forecast,220,234,88,114,172,201,241,278,402
Derbyshire,2020-10-13,forecast,217,241,123,111,165,193,239,286,441
Derbyshire,2020-10-14,forecast,234,273,176,108,171,207,265,329,560
Derbyshire,2020-10-15,forecast,235,293,256,100,160,203,271,348,683
Derbyshire,2020-10-16,forecast,183,257,415,70,117,156,217,286,619
Derbyshire,2020-10-17,forecast,139,235,631,49,87,117,168,239,616
Derbyshire,2020-10-18,forecast,150,317,1786,45,91,124,185,275,835
Derbyshire,2020-10-19,forecast,254,761,8541,69,139,199,323,508,1809
Derbyshire,2020-10-20,forecast,239,1114,16166,62,129,184,328,554,2302
Derbyshire,2020-10-21,forecast,252,1879,37774,57,129,192,354,647,3175
Derbyshire,2020-10-22,forecast,242,3415,94305,49,114,183,351,674,4077
Derbyshire,2020-10-23,forecast,188,4704,127787,32,83,135,279,569,3752
Derbyshire,2020-10-24,forecast,152,10329,359002,23,60,105,232,494,3842
Derbyshire,2020-10-25,forecast,155,16180,564214,21,60,106,241,581,5447
Leicester,2020-10-12,forecast,173,182,66,96,136,158,188,217,306
Leicester,2020-10-13,forecast,167,183,82,88,128,151,184,219,340
Leicester,2020-10-14,forecast,199,228,120,99,151,179,224,276,436
Leicester,2020-10-15,forecast,197,239,164,85,139,174,225,287,528
Leicester,2020-10-16,forecast,203,266,227,82,137,175,240,310,635
Leicester,2020-10-17,forecast,167,240,283,57,108,140,199,270,644
Leicester,2020-10-18,forecast,140,227,347,44,86,114,174,249,590
Leicester,2020-10-19,forecast,269,532,1146,73,155,215,344,516,1602
Leicester,2020-10-20,forecast,263,611,1833,64,138,203,345,531,1879
Leicester,2020-10-21,forecast,308,886,3112,65,164,240,420,703,2586
Leicester,2020-10-22,forecast,304,1115,5049,57,146,227,428,732,3275
Leicester,2020-10-23,forecast,316,1454,7494,49,136,231,457,804,4014
Leicester,2020-10-24,forecast,267,1618,10583,38,109,185,384,705,4397
Leicester,2020-10-25,forecast,217,1858,15312,27,84,151,330,662,4371
Leicestershire,2020-10-12,forecast,241,255,96,134,192,222,262,302,418
Leicestershire,2020-10-13,forecast,253,274,119,135,196,229,278,327,473
Leicestershire,2020-10-14,forecast,294,329,175,143,219,261,327,398,633
Leicestershire,2020-10-15,forecast,294,348,277,133,211,260,333,408,686
Leicestershire,2020-10-16,forecast,286,366,354,119,193,245,338,430,845
Leicestershire,2020-10-17,forecast,214,296,383,78,137,181,256,351,725
Leicestershire,2020-10-18,forecast,212,330,617,69,130,173,259,366,837
Leicestershire,2020-10-19,forecast,336,638,2339,93,197,270,434,628,1664
Leicestershire,2020-10-20,forecast,343,800,4375,84,190,279,446,700,2063
Leicestershire,2020-10-21,forecast,406,1197,8940,86,211,315,529,854,2776
Leicestershire,2020-10-22,forecast,398,1739,19765,73,191,298,534,909,3513
Leicestershire,2020-10-23,forecast,394,1897,20979,64,180,291,536,956,3845
Leicestershire,2020-10-24,forecast,278,2494,46598,40,122,202,408,759,3484
Leicestershire,2020-10-25,forecast,282,3493,57614,35,113,197,419,824,3932
Lincolnshire,2020-10-12,forecast,127,137,59,60,96,115,139,165,245
Lincolnshire,2020-10-13,forecast,108,122,60,49,79,97,122,151,236
Lincolnshire,2020-10-14,forecast,165,196,119,74,118,146,189,239,422
Lincolnshire,2020-10-15,forecast,142,177,145,53,94,122,164,217,416
Lincolnshire,2020-10-16,forecast,139,186,184,48,88,116,162,223,467
Lincolnshire,2020-10-17,forecast,96,150,211,31,60,80,116,165,426
Lincolnshire,2020-10-18,forecast,96,167,262,27,56,76,120,184,514
Lincolnshire,2020-10-19,forecast,160,331,692,36,86,124,209,334,1126
Lincolnshire,2020-10-20,forecast,133,343,887,27,67,101,178,299,1124
Lincolnshire,2020-10-21,forecast,201,654,2263,38,99,152,269,486,2132
Lincolnshire,2020-10-22,forecast,174,723,3195,27,77,124,239,455,2351
Lincolnshire,2020-10-23,forecast,165,866,4076,23,67,110,240,464,2876
Lincolnshire,2020-10-24,forecast,121,841,4885,15,45,82,175,363,2449
Lincolnshire,2020-10-25,forecast,110,1231,9585,13,44,76,176,390,3234
Northamptonshire,2020-10-12,forecast,158,175,86,71,114,142,177,214,343
Northamptonshire,2020-10-13,forecast,167,193,110,68,118,146,193,242,400
Northamptonshire,2020-10-14,forecast,166,196,134,63,112,144,191,246,427
Northamptonshire,2020-10-15,forecast,166,207,162,60,109,143,194,249,483
Northamptonshire,2020-10-16,forecast,134,177,161,44,87,114,158,215,421
Northamptonshire,2020-10-17,forecast,107,151,191,32,63,87,131,179,380
Northamptonshire,2020-10-18,forecast,111,177,327,30,63,88,138,199,473
Northamptonshire,2020-10-19,forecast,229,429,1233,53,125,180,290,426,1162
Northamptonshire,2020-10-20,forecast,248,515,1807,49,126,190,315,488,1441
Northamptonshire,2020-10-21,forecast,230,617,3373,44,111,176,311,491,1647
Northamptonshire,2020-10-22,forecast,232,722,3507,41,109,174,325,550,1950
Northamptonshire,2020-10-23,forecast,188,737,5101,28,87,143,261,472,1993
Northamptonshire,2020-10-24,forecast,150,774,7471,19,60,105,212,367,1655
Northamptonshire,2020-10-25,forecast,150,1090,12496,17,60,108,215,412,2270
Nottingham,2020-10-12,forecast,409,439,170,226,326,378,447,519,759
Nottingham,2020-10-13,forecast,301,327,137,165,236,275,329,382,584
Nottingham,2020-10-14,forecast,317,355,169,173,246,290,349,416,659
Nottingham,2020-10-15,forecast,270,305,159,146,211,242,297,354,579
Nottingham,2020-10-16,forecast,202,237,150,111,157,183,222,266,475
Nottingham,2020-10-17,forecast,141,168,116,70,108,128,156,190,347
Nottingham,2020-10-18,forecast,134,166,138,67,101,120,150,180,374
Nottingham,2020-10-19,forecast,142,187,232,70,105,126,159,199,419
Nottingham,2020-10-20,forecast,103,146,203,52,75,90,118,152,344
Nottingham,2020-10-21,forecast,110,167,406,55,82,98,126,162,395
Nottingham,2020-10-22,forecast,98,154,394,49,72,87,110,140,372
Nottingham,2020-10-23,forecast,74,134,539,36,55,66,85,112,321
Nottingham,2020-10-24,forecast,53,103,727,24,38,47,60,78,215
Nottingham,2020-10-25,forecast,52,121,1291,25,38,47,59,77,220
Nottinghamshire,2020-10-12,forecast,342,362,132,189,269,312,371,427,612
Nottinghamshire,2020-10-13,forecast,254,277,119,135,196,230,281,330,496
Nottinghamshire,2020-10-14,forecast,277,311,161,140,209,249,309,367,598
Nottinghamshire,2020-10-15,forecast,244,294,212,115,178,216,276,346,633
Nottinghamshire,2020-10-16,forecast,248,322,318,106,174,220,289,369,744
Nottinghamshire,2020-10-17,forecast,163,237,397,64,110,140,189,254,588
Nottinghamshire,2020-10-18,forecast,162,279,967,60,104,138,196,271,742
Nottinghamshire,2020-10-19,forecast,264,556,3311,85,162,217,327,471,1467
Nottinghamshire,2020-10-20,forecast,188,552,5188,56,108,153,240,371,1413
Nottinghamshire,2020-10-21,forecast,206,826,11702,57,111,160,261,409,1774
Nottinghamshire,2020-10-22,forecast,178,1466,34939,48,92,136,232,395,1861
Nottinghamshire,2020-10-23,forecast,180,1972,47014,46,89,130,250,434,2502
Nottinghamshire,2020-10-24,forecast,116,3580,124900,27,57,86,167,308,1922
Nottinghamshire,2020-10-25,forecast,119,5096,175914,24,53,84,166,312,2352
Rutland,2020-10-12,forecast,12,20,32,1,6,9,16,24,64
Rutland,2020-10-13,forecast,11,19,38,1,5,8,14,22,56
Rutland,2020-10-14,forecast,8,16,35,0,3,6,10,17,51
